,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
10,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2024-09-23 19:16:43.000000,2024-09-12 03:54:39,209.0,23.0,17.0,6.0,239.0,3.0,28.0,23.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,18,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,1552.0,1552.0,True,1,,,,,,,,,,,,,,,,,,
11,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2024-08-07 18:26:54.000000,2024-08-07 18:26:52,173.0,1.0,88.0,21.0,46.0,2.0,10.0,641.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,7.0,,15.0,15,,,,,,True,1,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,7.0,,
12,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2024-08-07 19:18:28.000000,2024-08-04 08:24:50,131.0,1.0,20.0,2.0,34.0,1.0,11.0,89.0,2024-04-28 21:21:24.000,0.6.0,13.0,A django app with templatetags for resizing images with thumbor.,25.0,25.0,8.0,15,https://pypi.org/project/django-thumbor,2024-04-28 21:21:24.000,,3980.0,3980.0,True,1,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
13,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,13.0,26.0,20.0,,5.0,46.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,108.0,108.0,17.0,15,,,,,,False,1,,,,,,,,,,,,,,,,,,
14,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2024-09-03 22:10:27.000000,2024-07-08 17:31:15,62.0,3.0,11.0,17.0,13.0,6.0,9.0,34.0,2024-07-09 01:35:34.000,1.2.5,11.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,3.0,3.0,4.0,15,https://pypi.org/project/thumbor-video-engine,2024-07-09 01:35:34.000,,574.0,574.0,True,1,,,,,,,,,,,,,,,,,,
15,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,15,https://pypi.org/project/thumbor-plugins-optipng,2023-11-04 21:11:05.000,,644.0,644.0,True,2,,,,,,,,,,,,,,,,,,
16,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2020-12-11 07:29:00.000000,,,,22.0,,,5.0,,21.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,20.0,,5.0,15,,,,,6994.0,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,20.0,6994.0,,,,,,,,,,,,
17,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,14,https://pypi.org/project/thumbor-plugins-mozjpeg,2023-11-07 23:04:42.000,,69.0,69.0,True,2,,,,,,,,,,,,,,,,,,
18,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,14,https://pypi.org/project/thumbor-plugins-jpegrecompress,2023-11-07 23:02:49.000,,50.0,50.0,True,2,,,,,,,,,,,,,,,,,,
19,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,14,https://pypi.org/project/thumbor-plugins-pngcrush,2023-11-07 14:30:53.000,,76.0,76.0,True,2,,,,,,,,,,,,,,,,,,
20,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,14,https://pypi.org/project/thumbor-plugins-jp2,2023-11-07 14:38:11.000,,52.0,52.0,True,2,,,,,,,,,,,,,,,,,,
21,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,20.0,20.0,15.0,14,https://pypi.org/project/thumbor-plugins-pngquant,2023-11-07 22:56:14.000,,85.0,85.0,True,2,,,,,,,,,,,,,,,,,,
22,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,27.0,16.0,14.0,11.0,26.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,,1037.0,1037.0,False,3,,,,,,,,,,,,16.0,,,,,,
23,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2024-02-01 11:24:31.000000,2022-04-07 12:28:01,149.0,,5.0,2.0,21.0,2.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,20.0,Django storage backend for Thumbor.,6.0,6.0,5.0,13,https://pypi.org/project/django-thumborstorage,2024-02-01 11:24:31.000,,1411.0,1411.0,False,2,,,,,,,,,,,,,,,,,,
24,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2024-09-12 17:11:38.000000,2024-03-16 05:13:46,686.0,,2.0,2.0,608.0,2.0,1.0,15.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,16.0,12.0,6.0,13,,,,,6976.0,True,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,4.0,6976.0,,,,,,,,,,,,
25,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2024-09-30 20:11:44.000000,2024-09-12 19:28:38,57.0,1.0,10.0,4.0,28.0,3.0,7.0,49.0,2024-03-31 20:05:15.000,7.7-1,11.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,12,,,,,2553.0,True,2,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2024-09-12 19:34:23.716619,1.0,74040.0,,,,,,,
26,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,10.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,10.0,7.0,6.0,12,,,,,148.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,148.0,,,,,,,,,,,,
27,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2024-01-02 20:14:35.000000,2024-01-02 19:35:36,36.0,,16.0,5.0,10.0,2.0,4.0,12.0,2024-01-02 20:14:35.000,2.5.0,7.0,Redis support.,,,7.0,11,https://pypi.org/project/tc_redis,2024-01-02 20:14:35.000,,747.0,747.0,True,3,,,,,,,,,,,,,,,,,,
28,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2024-09-09 14:54:34.000000,2024-09-09 14:54:33,24.0,2.0,10.0,4.0,20.0,1.0,,27.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,10,,,,,,True,1,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,
29,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,2017-05-09 18:08:48,25.0,,5.0,4.0,10.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,1.0,,,10,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,1.0,29.0,29.0,False,2,,,,,,,,,,,,,,,,,,
30,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2024-02-14 10:59:19.000000,2022-08-19 07:49:29,31.0,,7.0,3.0,9.0,2.0,6.0,8.0,2022-08-19 07:56:21.980,2.0.0,4.0,Thumbor Prometheus metrics extension.,2.0,,2.0,10,https://pypi.org/project/tc-prometheus,2022-07-01 14:29:57.000,2.0,426.0,426.0,False,1,,,,,,,,,,,,,,,,,,
31,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2023-12-06 19:46:28.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,2.0,,,6.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,4.0,3.0,2.0,10,,,,,549.0,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,1.0,549.0,,,,,,,,,,,,
32,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,2023-05-17 00:14:51,21.0,,3.0,2.0,2.0,,1.0,5.0,2023-05-17 10:12:59.000,1.0.0,8.0,Thumbor PDF Preview.,,,2.0,10,https://pypi.org/project/tc_pdf,2017-12-14 00:06:52.000,,150.0,150.0,False,1,,,,,,,,,,,,7.0,,,,,,
33,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,1.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,21.0,21.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35.000,,509.0,509.0,False,3,,,,,,,,,,,,,,,,,,
34,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2022-07-12 02:43:19.000000,2022-07-12 02:43:19,249.0,,3.0,1.0,49.0,2.0,,2.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,10,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45.000,,267.0,267.0,False,3,,,,,,,,,,,,,,,,,,
35,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-08-25 05:53:24.000000,2023-08-25 05:53:24,46.0,,5.0,3.0,10.0,4.0,7.0,27.0,,,,Unofficial thumbor docker image.,,,5.0,9,,,,,77.0,False,3,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,5621.0,,,,,,,
36,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,3.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,9,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00.000,,141.0,141.0,False,2,,,,,,,,,,,,,,,,,,
37,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,,,3.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4.0,Thumbor filter to convert between ICC profiles.,,,,9,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,,154.0,154.0,False,1,,,,,,,,,,,,,,,,,,
38,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,2.0,291.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,5.0,3.0,6.0,9,,,,,43.0,False,3,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,2.0,43.0,,,,,,,,,,,,
39,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,2.0,3.0,1.0,1.0,1.0,,2017-06-22 16:00:19.000,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,70.0,70.0,3.0,9,,,,,0.0,False,2,,,,,,,,,,,,12.0,,,,,,
40,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,6.0,4.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,4.0,4.0,8.0,8,,,,,,False,3,,,,,,,,,,,,,,,,,,
41,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,,,2.0,6.0,2.0,4.0,17.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,8,https://pypi.org/project/thumbor-wand-engine,2022-01-30 12:53:35.000,,541.0,541.0,False,3,,,,,,,,,,,,,,,,,,
42,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,5.0,5.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,8,,,,,398.0,False,3,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,31887.0,,,,,,,
43,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,3.0,a URL builder for Thumbor.,6.0,4.0,2.0,8,,,,,565.0,False,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,2.0,565.0,,,,,,,,,,,,
44,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2.0,Thumbor Upload.,4.0,2.0,2.0,8,,,,,7.0,False,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,2.0,7.0,,,,,,,,,,,,
45,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,2019-08-31 17:46:27,45.0,,,1.0,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3.0,Thumbor client for RN.,3.0,2.0,3.0,8,,,,,22.0,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,1.0,22.0,,,,,,,,,,,,
