,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,trending,updated_github_id
23,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2022-10-18 16:23:48.000000,2022-02-16 01:15:47,53.0,,4.0,3.0,3.0,5.0,5.0,23.0,2022-02-16 01:17:21.000,1.2.3,9.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,,,2.0,11,https://pypi.org/project/thumbor-video-engine,2022-02-16 01:17:21,,83.0,83.0,True,3,,,,,,,,,,,,,,,,,,,
24,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-07-05 21:25:17.000000,2022-07-05 21:18:54,32.0,,14.0,5.0,8.0,2.0,3.0,12.0,2022-07-05 21:25:17.000,2.3.0,5.0,Redis support.,,,6.0,11,https://pypi.org/project/tc_redis,2022-07-05 21:25:17,,109.0,109.0,True,2,,,,,,,,,,,,,,,,,,,
25,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-11-01 19:40:42.000000,2022-10-24 01:16:46,89.0,5.0,9.0,4.0,59.0,4.0,15.0,9.0,2022-05-04 01:27:38.000,0.4.3,8.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,5.0,11,https://pypi.org/project/thumbor-aws,2022-05-02 21:23:10,,80.0,80.0,True,2,,,,,,,,,,,,,,,,,,,
26,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-11-01 19:40:42.000000,2022-10-24 01:16:46,89.0,5.0,9.0,4.0,59.0,4.0,15.0,9.0,2022-05-04 01:27:38.000,0.4.3,8.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,5.0,11,https://pypi.org/project/thumbor-aws,2022-05-02 21:23:10,,80.0,80.0,True,2,,,,,,,,,,,,,,,,,,,
27,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2022-08-19 07:49:47.000000,2022-08-19 07:49:29,31.0,8.0,5.0,2.0,8.0,1.0,4.0,5.0,2022-08-19 07:56:21.980,2.0.0,4.0,Thumbor Prometheus metrics extension.,1.0,,2.0,10,https://pypi.org/project/tc-prometheus,2022-07-01 14:29:57,1.0,211.0,211.0,True,1,,,,,,,,,,,,,,,,,,,
28,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2020-01-28 17:52:23.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,1.0,,,5.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,,,2.0,10,,,,,1398.0,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,,1398.0,,,,,,,,,,,,,
29,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2022-07-12 02:43:19.000000,2022-07-12 02:43:19,249.0,,3.0,1.0,49.0,1.0,,2.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,10,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45,,120.0,120.0,True,3,,,,,,,,,,,,,,,,,,,
30,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-03-11 23:25:43.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,8.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,1.0,,,9,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04,1.0,9.0,9.0,False,2,,,,,,,,,,,,,,,,,,,
31,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,3.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,9,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00,,26.0,26.0,False,2,,,,,,,,,,,,,,,,,,,
32,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,22.0,18.0,4.0,9,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35,4.0,52.0,52.0,False,3,,,,,,,,,,,,,,,,,,,
