,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,docs_url
10,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2022-01-28 11:03:18.000000,2022-01-28 11:03:16,111.0,6.0,20.0,2.0,16.0,1.0,9.0,87.0,,,,A django app with templatetags for resizing images with thumbor.,20.0,20.0,7.0,https://pypi.org/project/django-thumbor,2800.0,2800.0,13,True,1,,,,,,,,,,,3.0,,,https://django-thumbor.readthedocs.io/en/latest/
11,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,19.0,20.0,16.0,14.0,11.0,24.0,2015-04-12 23:23:07,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,https://pypi.org/project/opencv-engine,466.0,466.0,13,False,1,,,,,,,,,,10.0,,,,
12,thumbor-plugins,thumbor/thumbor-plugins,thumbor-plugins,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-02-07 22:26:00.000000,2019-12-24 02:31:18,71.0,,18.0,18.0,23.0,3.0,10.0,27.0,,,,Optimizers and filters contributed by the Thumbor community.,7.0,7.0,11.0,https://pypi.org/project/thumbor-plugins,272.0,272.0,12,False,1,,,,,,,,,,,,,,
13,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,14.0,,1.0,6.0,1.0,4.0,13.0,2022-01-30 13:01:15,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,https://pypi.org/project/thumbor-wand-engine,105.0,105.0,10,True,3,,,,,,,,,,,,,,
14,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,6.0,,,,A React Component that generates images with valid Thumbor URLs for you.,1.0,1.0,6.0,,,2327.0,10,True,1,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2327.0,,,,,,,,,,
15,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,,2019-10-28 14:36:41,2022-02-09 10:20:56.000000,2022-02-09 10:19:47,482.0,42.0,1.0,,382.0,2.0,1.0,3.0,,,,Immutable TypeScript client for building Thumbor URLs.,7.0,7.0,5.0,,,1173.0,10,False,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,1173.0,,,,,,,,,,
16,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-29 21:38:54.000000,2022-01-25 20:14:11,26.0,26.0,2.0,5.0,3.0,,2.0,,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,https://pypi.org/project/thumbor-aws,253.0,253.0,10,True,2,,,,,,,,,,,,,,
17,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-29 21:38:54.000000,2022-01-25 20:14:11,26.0,26.0,2.0,5.0,3.0,,2.0,,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,https://pypi.org/project/thumbor-aws,253.0,253.0,10,True,2,,,,,,,,,,,,,,
18,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2020-02-13 13:33:09.000000,2020-02-13 13:33:08,137.0,,4.0,2.0,17.0,3.0,9.0,17.0,,,,Django storage backend for Thumbor.,5.0,5.0,5.0,https://pypi.org/project/django-thumborstorage,660.0,660.0,9,False,2,,,,,,,,,,,,,,
19,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-02-11 14:14:04.000000,2015-10-14 13:58:26,14.0,,10.0,5.0,4.0,3.0,1.0,9.0,2015-08-14 14:24:27,1.0.0,1.0,Redis support.,,,,https://pypi.org/project/tc_redis,375.0,375.0,9,False,3,,,,,,,,,,,,,,
20,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,,,,thumbor-memcached provides storages using memcached as a backend.,17.0,17.0,4.0,https://pypi.org/project/thumbor-memcached,263.0,263.0,9,False,3,,,,,,,,,,,2.0,,,
21,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-01-13 00:48:40.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,7.0,2.0,,10.0,,,,Enable thumbor to use AWS rekognition to run face detection.,,,,https://pypi.org/project/thumbor_rekognition,8.0,8.0,8,False,2,,,,,,,,,,,,,,
22,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,4.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,,,300.0,8,False,3,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,14735.0,,,,,
23,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-02-07 23:03:42.000000,2021-10-25 09:43:39,142.0,,,1.0,235.0,2.0,1.0,1.0,2021-10-10 04:19:51,1.0.0,7.0,This is an addon for using thumbor based images in apps.,,,6.0,,,24.0,8,True,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,24.0,,,,,,,-1.0,,,
24,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,5.0,3.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,1.0,1.0,10.0,,,,7,False,2,,,,,,,,,,,,,,
25,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2022-02-05 13:50:02.582077,2022-02-05 13:47:23,37.0,2.0,3.0,2.0,3.0,4.0,4.0,14.0,,,,Unofficial thumbor docker image.,,,3.0,,,87.0,7,True,3,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2022-02-05 13:50:02.582077,1.0,3695.0,,,,,
26,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2020-03-09 07:43:49.000000,2017-12-18 19:31:30,13.0,,1.0,2.0,1.0,1.0,,4.0,2017-12-15 17:26:59,0.0.7,3.0,Thumbor PDF Preview.,,,,https://pypi.org/project/tc_pdf,32.0,32.0,7,False,1,,,,,,,,,,,,,,
27,docker-alpine-vips,heynemann/docker-alpine-pyvips,,['docker'],hosting,https://github.com/heynemann/docker-alpine-pyvips,https://github.com/heynemann/docker-alpine-pyvips,MIT,2022-01-26 17:16:07,2022-01-27 23:41:07.473640,2022-01-27 23:28:55,10.0,10.0,,1.0,1.0,,,1.0,,,,Docker image for pyvips development using alpine.,,,,,,1264.0,7,True,3,,,,,thumbororg/alpine-pyvips,https://hub.docker.com/r/thumbororg/alpine-pyvips,2022-01-27 23:41:07.473640,,1264.0,,,,,
28,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,1.0,2.0,1.0,1.0,1.0,,2017-06-22 16:00:19,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,23.0,23.0,3.0,,,0.0,7,False,2,,,,,,,,,,8.0,,,,
29,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,,2018-12-07 21:13:05,2020-01-28 17:52:23.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,1.0,,,5.0,,,,Thumbor client for JavaScript.,,,2.0,,,1136.0,6,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,1136.0,,,,,,,,,,
30,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2021-11-18 21:26:35.000000,2021-11-18 21:26:35,227.0,8.0,2.0,1.0,40.0,1.0,,2.0,,,,A Thumbor server extension for DASH.,,,5.0,https://pypi.org/project/thumbor_dash,114.0,114.0,6,True,3,,,,,,,,,,,,,,
31,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,31.0,31.0,6,False,2,,,,,,,,,,,,,,
32,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,31.0,31.0,6,False,1,,,,,,,,,,,,,,
33,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,2015-11-30 16:38:57,41.0,,4.0,2.0,14.0,4.0,6.0,10.0,,,,A Thumbor client that lets you specify versions of given image.,1.0,1.0,2.0,,,,5,False,3,,,,,,,,,,,,,,
34,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,2.0,6.0,2.0,,9.0,,,,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,https://pypi.org/project/thumbor_hbase,28.0,28.0,5,False,2,,,,,,,,,,,,,,
35,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2017-11-02 23:29:35.000000,2017-03-17 15:38:17,11.0,,3.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,https://pypi.org/project/tc-prometheus,220.0,220.0,5,False,1,,,,,,,,,,,,,,
36,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-02-02 18:52:24.000000,2022-02-02 18:51:50,20.0,8.0,1.0,13.0,1.0,,1.0,2.0,,,,Distributed collage is a filter for creating side-by-side images.,,,3.0,https://pypi.org/project/thumbor-distributed-collage-filter,64.0,64.0,5,True,2,,,,,,,,,,,,,,
37,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2021-04-06 06:07:47.000000,2021-03-31 09:26:02,15.0,,,1.0,,,,1.0,2021-04-06 06:07:47,0.1.4,1.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,https://pypi.org/project/thumbor-arcface,43.0,43.0,5,True,3,,,,,,,,,,,,,,
38,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:50:38.000000,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:50:38,1.1.0,2.0,Thumbor Upload.,,,2.0,,,9.0,5,True,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,9.0,,,,,,,,,,
39,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2020-02-17 23:58:01.000000,2020-02-17 23:57:53,11.0,,,2.0,,,,,,,,Thumbor file loader plugin that search multiple paths on disk.,,,,https://pypi.org/project/thumbor-multidir,41.0,41.0,5,False,2,,,,,,,,,,,,,,
40,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:09.000000,2020-03-02 01:15:02,15.0,,,2.0,,1.0,,,,,,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,https://pypi.org/project/remotecv-redis,24.0,24.0,5,False,3,,,,,,,,,,,,,,
41,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:25.000000,2017-08-21 20:31:18,6.0,,,7.0,,,,,,,,A filter for clipping images differently than what thumbor does.,,,2.0,https://pypi.org/project/mg-thumbor,30.0,30.0,5,False,2,,,,,,,,,,,,,,
42,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:10:48.000000,2020-09-02 06:08:55,3.0,,,3.0,,,,,,,,Thumbor module for NuxtJS.,,,,,,12.0,5,False,3,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,12.0,,,,,,,,,,
43,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,,2019-12-24 21:34:29,2022-01-25 19:01:08.000000,2022-01-25 18:44:23,51.0,2.0,2.0,3.0,2.0,4.0,4.0,18.0,,,,An engine and tools for manipulating videos with thumbor using ffmpeg.,,,2.0,https://pypi.org/project/thumbor-video-engine,95.0,95.0,4,False,3,,,,,,,,,,,,,,
44,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,,2016-04-19 13:35:49,2020-06-30 13:25:48.000000,2020-06-30 13:23:39,17.0,,,3.0,1.0,1.0,,3.0,,,,Thumbor filter to convert between ICC profiles.,,,,https://pypi.org/project/mg-thumbor,30.0,30.0,4,False,3,,,,,,,,,,,,,,
45,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,GPL-3.0,2020-12-01 18:32:39,2020-12-02 14:19:15.000000,2020-12-02 14:18:51,18.0,,,3.0,,1.0,,1.0,,,,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,,https://pypi.org/project/thumbor-request-modifier-http-loader,78.0,78.0,4,False,3,,,,,,,,,,,,,,
46,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,,2019-08-30 21:22:05,2019-08-31 17:46:45.000000,2019-08-31 17:46:27,45.0,,,,,,,1.0,,,,Thumbor client for RN.,,,3.0,,,50.0,4,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,50.0,,,,,,,,,,
47,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,,{},,,,,,,,,,,,,,,,,,,,,,12401.0,4,False,3,,thumbor,https://www.npmjs.com/package/thumbor,12401.0,,,,,,,,,,
48,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor,https://github.com/dekproject/thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:29.000000,2020-08-07 20:24:22,3.0,,,1.0,,,,,,,,Thumbor interface plugin for DEK.,,,,,,10.0,4,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,10.0,,,,,,,,,,
49,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:18:52.000000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,,,,a URL builder for Thumbor.,1.0,1.0,2.0,,,994.0,3,True,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,994.0,,,,,,,,,,
50,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:28:52.000000,2021-05-09 05:28:44,9.0,,,2.0,,,,1.0,,,,Add timeout verification for thumbor.,,,,https://pypi.org/project/thumbor-expire,19.0,19.0,3,True,1,,,,,,,,,,,,,,
51,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 14:59:58.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,,Thumbor plugin for Apache Cassandra.,,,2.0,https://pypi.org/project/thumbor-cassandra,8.0,8.0,3,False,3,,,,,,,,,,,,,,
52,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,,2018-05-04 16:38:20,2018-06-12 20:06:03.000000,2018-06-08 13:51:00,13.0,,,14.0,,1.0,,,,,,A Focus filter for Thumbor.,,,,https://pypi.org/project/thumbor-focus-filter,10.0,10.0,3,False,3,,,,,,,,,,,,,,
53,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:00:41.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-23 14:12:55,0.1.0,1.0,,,,,https://pypi.org/project/thumbor_head,3.0,3.0,2,False,3,,,,,,,,,,,,,,
54,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,2020-03-03 01:11:34,2.0,,,2.0,,1.0,,,,,,,,,,https://pypi.org/project/remotecv-multidir,13.0,13.0,2,False,3,,,,,,,,,,,,,,
