,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
18,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2024-10-08 21:21:57.000000,2024-08-04 08:24:50,131.0,,20.0,2.0,35.0,1.0,11.0,90.0,2024-04-28 21:21:24.000,0.6.0,13.0,A django app with templatetags for resizing images with thumbor.,27.0,27.0,8.0,14,https://pypi.org/project/django-thumbor,2024-04-28 21:21:24.000,,4852.0,4852.0,True,1,,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
19,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-03-02 02:44:18.905271,2024-10-01 09:56:44,58.0,,11.0,4.0,28.0,2.0,8.0,55.0,2024-10-01 10:11:25.000,7.7-2,12.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,14,,,,,2179.0,True,2,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-03-02 02:44:18.905271,1.0,76299.0,,,,,,,,
20,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,14,https://pypi.org/project/thumbor-plugins-jpegrecompress,2023-11-07 23:02:49.000,,136.0,136.0,True,3,,,,,,,,,,,,,,,,,,,
21,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,14,https://pypi.org/project/thumbor-plugins-jp2,2023-11-07 14:38:11.000,,113.0,113.0,True,3,,,,,,,,,,,,,,,,,,,
22,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,26.0,16.0,14.0,11.0,26.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,,805.0,805.0,False,1,,,,,,,,,,,,16.0,,,,,,,
23,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2024-09-03 22:10:27.000000,2024-07-08 17:31:15,62.0,,11.0,16.0,13.0,6.0,10.0,35.0,2024-07-09 01:35:34.000,1.2.5,11.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,4.0,4.0,4.0,13,https://pypi.org/project/thumbor-video-engine,2024-07-09 01:35:34.000,,922.0,922.0,True,3,,,,,,,,,,,,,,,,,,,
24,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2024-02-01 11:24:31.000000,2022-04-07 12:28:01,149.0,,5.0,2.0,21.0,2.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,20.0,Django storage backend for Thumbor.,8.0,8.0,5.0,12,https://pypi.org/project/django-thumborstorage,2024-02-01 11:24:31.000,,482.0,482.0,False,2,,,,,,,,,,,,,,,,,,,
25,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2025-03-01 14:51:06.000000,2024-03-16 05:13:46,686.0,,2.0,1.0,608.0,2.0,1.0,16.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,18.0,12.0,6.0,12,,,,,498.0,True,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,6.0,498.0,,,,,,,,,,,,,
26,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,4.0,2.0,10.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,10.0,7.0,6.0,12,,,,,336.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,336.0,,,,,,,,,,,,,
27,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2024-01-02 20:14:35.000000,2024-01-02 19:35:36,36.0,,16.0,4.0,11.0,2.0,4.0,13.0,2024-01-02 20:14:35.000,2.5.0,7.0,Redis support.,,,7.0,11,https://pypi.org/project/tc_redis,2024-01-02 20:14:35.000,,826.0,826.0,False,3,,,,,,,,,,,,,,,,,,,
28,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,10.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,4.0,3.0,,11,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,1.0,68.0,68.0,False,2,,,,,,,,,,,,,,,,,,,
29,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2024-10-24 18:05:18.000000,2024-10-24 17:55:33,45.0,,8.0,2.0,11.0,1.0,7.0,8.0,2024-10-24 18:05:18.000,3.0.0,5.0,Thumbor Prometheus metrics extension.,2.0,,4.0,11,https://pypi.org/project/tc-prometheus,2024-10-24 18:05:18.000,2.0,950.0,950.0,True,1,,,,,,,,,,,,,,,,,,,
30,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2024-10-03 23:43:05.000000,2024-10-03 23:43:03,253.0,,3.0,1.0,49.0,2.0,,3.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,11,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45.000,,745.0,745.0,True,3,,,,,,,,,,,,,,,,,,,
31,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2025-03-17 16:15:12.000000,2024-09-09 14:54:33,24.0,,10.0,4.0,21.0,2.0,1.0,28.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,10,,,,,,True,1,,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,
32,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2023-12-06 19:46:28.000000,2020-01-28 17:52:17,46.0,,3.0,1.0,2.0,,,6.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,6.0,3.0,2.0,10,,,,,513.0,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,3.0,513.0,,,,,,,,,,,,,
33,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,2023-05-17 00:14:51,21.0,,3.0,1.0,2.0,,1.0,5.0,2023-05-17 10:12:59.000,1.0.0,8.0,Thumbor PDF Preview.,,,2.0,10,https://pypi.org/project/tc_pdf,2017-12-14 00:06:52.000,,235.0,235.0,False,1,,,,,,,,,,,,8.0,,,,,,,
34,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,1.0,3.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,23.0,23.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35.000,,387.0,387.0,False,3,,,,,,,,,,,,,,,,,,,
35,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,2.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,9,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00.000,,243.0,243.0,False,2,,,,,,,,,,,,,,,,,,,
36,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,1.0,291.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,8.0,3.0,6.0,9,,,,,74.0,False,3,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,5.0,74.0,,,,,,,,,,,,,
37,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,2019-08-31 17:46:27,45.0,,,,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3.0,Thumbor client for RN.,5.0,2.0,3.0,9,,,,,51.0,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,3.0,51.0,,,,,,,,,,,,,
38,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,9,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12.000,,216.0,216.0,False,2,,,,,,,,,,,,,,,,,,,
39,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,9,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12.000,,216.0,216.0,False,1,,,,,,,,,,,,,,,,,,,
40,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,6.0,3.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,4.0,4.0,8.0,8,,,,,,False,2,,,,,,,,,,,,,,,,,,,
41,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-08-25 05:53:24.000000,2023-08-25 05:53:24,46.0,,5.0,2.0,10.0,4.0,7.0,27.0,,,,Unofficial thumbor docker image.,,,5.0,8,,,,,90.0,False,3,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,7110.0,,,,,,,,
42,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,,,2.0,6.0,2.0,4.0,17.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,8,https://pypi.org/project/thumbor-wand-engine,2022-01-30 12:53:35.000,,890.0,890.0,False,3,,,,,,,,,,,,,,,,,,,
43,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,5.0,7.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,8,,,,,371.0,False,3,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,31927.0,,,,,,,,
44,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,,,2.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4.0,Thumbor filter to convert between ICC profiles.,,,,8,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,,179.0,179.0,False,2,,,,,,,,,,,,,,,,,,,
45,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,2.0,1.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,5.0,a URL builder for Thumbor.,10.0,5.0,2.0,8,,,,,247.0,False,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,5.0,247.0,,,,,,,,,,,,,
