,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,docs_url,maven_id,maven_url,npm_latest_release_published_at,npm_dependent_project_count,trending,updated_github_id
39,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2023-08-22 06:04:31.000000,2023-08-22 05:52:01,20.0,,,1.0,,,,1.0,2023-08-22 06:04:31.000,0.1.7,7.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,https://pypi.org/project/thumbor-arcface,18.0,18.0,7,False,3.0,,,,,2023-08-22 03:22:10,,,,,,,,,,,,,,
40,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,2020-03-03 01:11:34,2.0,,,1.0,,1.0,,,2020-03-03 01:02:50.000,0.1.1,2.0,RemoteCV image loader from multiple local directories.,,,,https://pypi.org/project/remotecv-multidir,17.0,17.0,7,False,3.0,,,,,2020-03-03 01:02:50,,,,,,,,,,,,,,
41,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58.000000,2019-06-16 14:42:20,19.0,,1.0,1.0,1.0,2.0,1.0,,2019-02-18 23:45:57.000,0.0.3,3.0,Thumbor URL Aliases.,,,4.0,https://pypi.org/project/thumbor-aliases,12.0,12.0,7,False,3.0,,,,,2019-02-18 23:45:57,,,,,,,,,,,,,,
42,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,1.0,291.0,2.0,1.0,1.0,2021-10-10 04:19:51.000,1.0.0,7.0,This is an addon for using thumbor based images in apps.,3.0,3.0,6.0,,,14.0,6,False,2.0,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,14.0,,,,,,,,,,,,,,,
43,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,1.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,26.0,26.0,6,False,1.0,,,,,,,,,,,,,,,,,,,
44,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/clayrisser/react-thumbor,https://github.com/clayrisser/react-thumbor,,2016-12-06 00:06:20,2023-07-13 07:16:40.000000,2023-07-13 07:16:30,26.0,,,1.0,,,,,2016-12-07 06:32:52.067,0.1.21,21.0,react-thumbor.,8.0,3.0,2.0,,,47.0,6,False,2.0,,react-thumbor,https://www.npmjs.com/package/react-thumbor,47.0,,,,,,,,,,,,2016-12-07 06:32:52.067,5.0,,
45,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/andrehrferreira/dek-thumbor,https://github.com/andrehrferreira/dek-thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:29.000000,2020-08-07 20:24:22,3.0,,,,,,,,,,,Thumbor interface plugin for DEK.,3.0,3.0,,,,6.0,6,False,2.0,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,6.0,,,,,,,,,,,,,,,andrehrferreira/dek-thumbor
46,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,6.0,1.0,6.0,2.0,,10.0,,,,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,6.0,https://pypi.org/project/thumbor_hbase,38.0,38.0,5,False,2.0,,,,,,,,,,,,,,,,,,,
47,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,2015-11-30 16:38:57,41.0,,4.0,2.0,14.0,3.0,7.0,10.0,,,,A Thumbor client that lets you specify versions of given image.,1.0,1.0,2.0,,,,5,False,3.0,,,,,,,,,,,,,,,,,,,
48,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,,2018-12-07 21:13:05,2023-12-06 19:46:28.000000,2020-01-28 17:52:17,46.0,,3.0,1.0,2.0,,,7.0,,,,Thumbor client for JavaScript.,2.0,2.0,2.0,,,996.0,5,False,3.0,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,996.0,,,,,,,,,,,,,,-6.0,
