,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,docs_url,maven_id,maven_url,pypi_latest_release_published_at,updated_github_id
40,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/andrehrferreira/dek-thumbor,https://github.com/andrehrferreira/dek-thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:48.049000,2020-08-07 20:24:22,3.0,,,,,,,,2020-08-07 20:24:48.049,1.0.1,2.0,Thumbor interface plugin for DEK.,8.0,3.0,,,,10.0,8,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,2020-08-07 20:24:48.049,5.0,10.0,,,,,,,,,,,,andrehrferreira/dek-thumbor
41,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,6.0,1.0,10.0,,2.0,31.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,4.0,4.0,8.0,,,,7,False,2,,,,,,,,,,,,,,,,,,
42,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,2023-05-17 00:14:51,21.0,,3.0,1.0,2.0,,1.0,6.0,2023-05-17 10:12:59.000,1.0.0,4.0,Thumbor PDF Preview.,,,2.0,https://pypi.org/project/tc_pdf,43.0,43.0,7,False,1,,,,,,,,,,,,8.0,,,,,,
43,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,1.0,3.0,3.0,2.0,,4.0,,,,thumbor-memcached provides storages using memcached as a backend.,23.0,23.0,4.0,https://pypi.org/project/thumbor-memcached,,,7,False,3,,,,,,,,,,,,,,,,,,
44,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2023-08-22 06:04:31.000000,2023-08-22 05:52:01,20.0,,,1.0,,,,1.0,2023-08-22 06:04:31.000,0.1.7,2.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,https://pypi.org/project/thumbor-arcface,38.0,38.0,6,False,2,,,,,,,,,,,,,,,,,,
45,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:28:41.880000,2020-09-02 06:08:55,3.0,,,2.0,,,,1.0,2020-09-02 06:28:41.880,0.1.1,1.0,Thumbor module for NuxtJS.,8.0,3.0,,,,8.0,6,False,3,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,2020-09-02 06:28:41.880,5.0,8.0,,,,,,,,,,,,
46,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,1.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,29.0,29.0,6,False,1,,,,,,,,,,,,,,,,,,
47,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/clayrisser/react-thumbor,https://github.com/clayrisser/react-thumbor,,2016-12-06 00:06:20,2023-07-13 07:16:40.000000,2023-07-13 07:16:30,26.0,,,1.0,,,,,2016-12-07 06:32:52.067,0.1.21,21.0,react-thumbor.,8.0,3.0,2.0,,,90.0,6,False,3,,react-thumbor,https://www.npmjs.com/package/react-thumbor,2016-12-07 06:32:52.067,5.0,90.0,,,,,,,,,,,,
48,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,6.0,1.0,6.0,2.0,,10.0,,,,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,6.0,https://pypi.org/project/thumbor_hbase,39.0,39.0,5,False,2,,,,,,,,,,,,,,,,,,
49,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,2015-11-30 16:38:57,41.0,,4.0,2.0,14.0,3.0,7.0,10.0,,,,A Thumbor client that lets you specify versions of given image.,1.0,1.0,2.0,,,,5,False,3,,,,,,,,,,,,,,,,,,
50,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,2022-02-02 18:51:50,20.0,,1.0,35.0,2.0,,1.0,1.0,,,,Distributed collage is a filter for creating side-by-side images.,2.0,2.0,3.0,https://pypi.org/project/thumbor-distributed-collage-filter,21.0,21.0,5,False,2,,,,,,,,,,,,,,,,,,
