,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url
41,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,,,1.0,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,8,,,,Some useful extensions to thumbor - extra filters and detectors.,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12.000,2019-09-10 05:49:12.000,1.0.2,5.0,,16.0,16.0,False,1,,,,,,,,,,,,,,,,,
42,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor#readme,8.0,3.0,,,MIT,,2020-08-07 20:24:48.049000,8,,,,Thumbor interface plugin for DEK.,,,2020-08-07 20:24:48.049,1.0.1,2.0,,,17.0,False,3,,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,2020-08-07 20:24:48.049,5.0,17.0,,,,,,,,,,
43,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,,,5.0,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-07-20 06:15:29.292056,7,3.0,,12.0,Unofficial thumbor docker image.,,,,,,,,83.0,False,3,,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,7887.0,,,,,
44,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,,,6.0,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,7,8.0,1.0,9.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00.000,,,11.0,,16.0,16.0,False,2,,,,,,,,,,,,,,,,,
45,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,,,2.0,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,7,5.0,,8.0,Yet another Thumbor Docker image.,,,,,,,,314.0,False,3,,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,32051.0,,,,,
46,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,,,1.0,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,7,,1.0,3.0,Thumbor filter to convert between ICC profiles.,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,2017-08-21 20:31:57.000,0.2.0,4.0,,14.0,14.0,False,2,,,,,,,,,,,,,,,,,
47,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,,,1.0,https://github.com/arcivr/thumbor-padding,MIT,2018-08-08 14:41:30,2022-01-24 16:48:35.000000,7,,,2.0,Padding filter for thumbor.,https://pypi.org/project/thumbor-padding,2018-08-08 14:56:37.587,2018-08-08 14:56:37.587,1.0.0,1.0,,13.0,13.0,False,2,,,,,,,,,,,,,,,,,
48,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,,,2.0,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:30:13.000000,7,,,2.0,Add timeout verification for thumbor.,https://pypi.org/project/thumbor-expire,2021-05-09 05:30:13.000,2021-05-09 05:30:13.000,0.1.3,4.0,,14.0,14.0,False,1,,,,,,,,,,,,,,,,,
49,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,,,4.0,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2022-06-11 00:32:45.000000,7,2.0,1.0,2.0,A Thumbor server extension for DASH.,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45.000,2022-06-11 00:32:45.000,0.0.20,21.0,,,,False,3,,,,,,,,,,,,,,,,,
50,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,,,1.0,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2023-08-22 03:22:10.000000,7,,,1.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",https://pypi.org/project/thumbor-arcface,2023-08-22 03:22:10.000,2023-08-22 03:22:10.000,0.1.7,7.0,,86.0,86.0,False,3,,,,,,,,,,,,,,,,,
51,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,,,1.0,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,7,,,,RemoteCV image loader from multiple local directories.,https://pypi.org/project/remotecv-multidir,2020-03-03 01:02:50.000,2020-03-03 01:02:50.000,0.1.1,2.0,,31.0,31.0,False,3,,,,,,,,,,,,,,,,,
52,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,,,1.0,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:14.000000,7,,,,Adds loading images directly from Redis storage i.e. from Thumbor.,https://pypi.org/project/remotecv-redis,2020-03-02 01:15:14.000,2020-03-02 01:15:14.000,0.2.3,5.0,,39.0,39.0,False,3,,,,,,,,,,,,,,,,,
53,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,,,1.0,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:57.000000,7,,,,A filter for clipping images differently than what thumbor does.,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,2017-08-21 20:31:57.000,0.2.0,4.0,,14.0,14.0,False,2,,,,,,,,,,,,,,,,,
54,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,,,2.0,https://github.com/sport1online/thumbor-focus-filter,MIT,2018-05-04 16:38:20,2018-06-12 20:07:11.000000,7,,1.0,,A Focus filter for Thumbor.,https://pypi.org/project/thumbor-focus-filter,2018-06-12 20:07:11.000,2018-06-12 20:07:11.000,0.2.1,3.0,,14.0,14.0,False,2,,,,,,,,,,,,,,,,,
