,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
23,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2024-09-03 22:10:27.000000,2024-07-08 17:31:15,62.0,,11.0,17.0,13.0,6.0,9.0,35.0,2024-07-09 01:35:34.000,1.2.5,11.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,4.0,4.0,4.0,13,https://pypi.org/project/thumbor-video-engine,2024-07-09 01:35:34.000,,718.0,718.0,True,3,,,,,,,,,,,,,,,,,,,
24,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2024-02-01 11:24:31.000000,2022-04-07 12:28:01,149.0,,5.0,2.0,21.0,2.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,20.0,Django storage backend for Thumbor.,8.0,8.0,5.0,13,https://pypi.org/project/django-thumborstorage,2024-02-01 11:24:31.000,,1993.0,1993.0,False,2,,,,,,,,,,,,,,,,,,,
25,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,10.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,10.0,7.0,6.0,13,,,,,199.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,199.0,,,,,,,,,,,,,
26,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2025-01-15 13:34:41.000000,2024-03-16 05:13:46,686.0,,2.0,2.0,608.0,2.0,1.0,15.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,16.0,12.0,6.0,12,,,,,221.0,True,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,4.0,221.0,,,,,,,,,,,,,
27,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2024-10-24 18:05:18.000000,2024-10-24 17:55:33,45.0,,8.0,3.0,10.0,1.0,7.0,8.0,2024-10-24 18:05:18.000,3.0.0,5.0,Thumbor Prometheus metrics extension.,2.0,,4.0,12,https://pypi.org/project/tc-prometheus,2024-10-24 18:05:18.000,2.0,605.0,605.0,True,1,,,,,,,,,,,,,,,,,,,
28,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2024-01-02 20:14:35.000000,2024-01-02 19:35:36,36.0,,16.0,5.0,11.0,2.0,4.0,12.0,2024-01-02 20:14:35.000,2.5.0,7.0,Redis support.,,,7.0,11,https://pypi.org/project/tc_redis,2024-01-02 20:14:35.000,,799.0,799.0,False,3,,,,,,,,,,,,,,,,,,,
29,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,2017-05-09 18:08:48,25.0,,5.0,4.0,10.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,4.0,3.0,,11,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,1.0,52.0,52.0,False,2,,,,,,,,,,,,,,,,,,,
30,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2024-10-03 23:43:05.000000,2024-10-03 23:43:03,253.0,,3.0,1.0,49.0,2.0,,3.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,11,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45.000,,881.0,881.0,True,3,,,,,,,,,,,,,,,,,,,
31,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,3.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,10,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00.000,,246.0,246.0,False,2,,,,,,,,,,,,,,,,,,,
32,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2023-12-06 19:46:28.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,2.0,,,6.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,4.0,3.0,2.0,10,,,,,426.0,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,1.0,426.0,,,,,,,,,,,,,
33,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,2023-05-17 00:14:51,21.0,,3.0,2.0,2.0,,1.0,5.0,2023-05-17 10:12:59.000,1.0.0,8.0,Thumbor PDF Preview.,,,2.0,10,https://pypi.org/project/tc_pdf,2017-12-14 00:06:52.000,,300.0,300.0,False,1,,,,,,,,,,,,8.0,,,,,,,
34,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,1.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,23.0,23.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35.000,,379.0,379.0,False,3,,,,,,,,,,,,,,,,,,,
35,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2024-10-05 18:34:32.000000,2024-09-09 14:54:33,24.0,,10.0,4.0,20.0,1.0,1.0,28.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,9,,,,,,True,1,,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,
36,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-08-25 05:53:24.000000,2023-08-25 05:53:24,46.0,,5.0,3.0,10.0,4.0,7.0,27.0,,,,Unofficial thumbor docker image.,,,5.0,9,,,,,87.0,False,3,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,6810.0,,,,,,,,
37,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,,,3.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4.0,Thumbor filter to convert between ICC profiles.,,,,9,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,,186.0,186.0,False,1,,,,,,,,,,,,,,,,,,,
38,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,2.0,291.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,5.0,3.0,6.0,9,,,,,56.0,False,3,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,2.0,56.0,,,,,,,,,,,,,
39,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,9,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12.000,,261.0,261.0,False,2,,,,,,,,,,,,,,,,,,,
